time,value,n
2014-01-01,89,1
2014-01-02,0,1
2014-01-03,0,1
2014-01-04,0,1
2014-01-05,79,1
2014-01-06,0,1
2014-01-07,0,1
2014-01-08,0,1
2014-01-09,0,1
2014-01-10,0,1
2014-01-11,0,1
2014-01-12,0,1
2014-01-13,0,1
2014-01-14,63,1
2014-01-15,65,1
2014-01-16,65.5,2
2014-01-17,69.5,2
2014-01-18,81,2
2014-01-19,0,2
2014-01-20,0,2
2014-01-21,62.5,2
2014-01-22,0,2
2014-01-23,0,2
2014-01-24,0,2
2014-01-25,0,2
2014-01-26,74.5,2
2014-01-27,61.5,2
2014-01-28,0,2
2014-01-29,0,2
2014-01-30,0,2
2014-01-31,0,3
2014-02-01,0,3
2014-02-02,0,3
2014-02-03,59.333333333333336,3
2014-02-04,0,3
2014-02-05,62.333333333333336,3
2014-02-06,0,3
2014-02-07,0,3
2014-02-08,80.66666666666667,3
2014-02-09,0,3
2014-02-10,0,3
2014-02-11,0,3
2014-02-12,0,3
2014-02-13,64,3
2014-02-14,0,3
2014-02-15,0,4
2014-02-16,0,4
2014-02-17,0,4
2014-02-18,51.5,4
2014-02-19,0,4
2014-02-20,0,4
2014-02-21,0,4
2014-02-22,0,4
2014-02-23,0,4
2014-02-24,0,4
2014-02-25,0,4
2014-02-26,0,4
2014-02-27,0,4
2014-02-28,0,4
2014-03-01,0,4
2014-03-02,0,5
2014-03-03,0,5
2014-03-04,0,5
2014-03-05,0,5
2014-03-06,0,5
2014-03-07,52,5
2014-03-08,0,5
2014-03-09,0,5
2014-03-10,0,5
2014-03-11,47.8,5
2014-03-12,0,5
2014-03-13,0,5
2014-03-14,0,5
2014-03-15,59,5
2014-03-16,0,5
2014-03-17,0,6
2014-03-18,0,6
2014-03-19,0,6
2014-03-20,0,6
2014-03-21,0,6
2014-03-22,59.666666666666664,6
2014-03-23,0,6
2014-03-24,40.333333333333336,6
2014-03-25,0,6
2014-03-26,0,6
2014-03-27,0,6
2014-03-28,49.5,6
2014-03-29,0,6
2014-03-30,0,6
2014-03-31,0,6
2014-04-01,41.285714285714285,7
2014-04-02,0,7
2014-04-03,0,7
2014-04-04,48.285714285714285,7
2014-04-05,0,7
2014-04-06,0,7
2014-04-07,0,7
2014-04-08,0,7
2014-04-09,0,7
2014-04-10,0,7
2014-04-11,49.42857142857143,7
2014-04-12,0,7
2014-04-13,0,7
2014-04-14,0,7
2014-04-15,0,7
2014-04-16,0,8
2014-04-17,0,8
2014-04-18,0,8
2014-04-19,0,8
2014-04-20,57.875,8
2014-04-21,0,8
2014-04-22,0,8
2014-04-23,0,8
2014-04-24,0,8
2014-04-25,0,8
2014-04-26,54.875,8
2014-04-27,0,8
2014-04-28,0,8
2014-04-29,40,8
2014-04-30,0,8
2014-05-01,0,9
2014-05-02,0,9
2014-05-03,47.22222222222222,9
2014-05-04,46.888888888888886,9
2014-05-05,0,9
2014-05-06,0,9
2014-05-07,0,9
2014-05-08,0,9
2014-05-09,0,9
2014-05-10,0,9
2014-05-11,0,9
2014-05-12,0,9
2014-05-13,0,9
2014-05-14,0,9
2014-05-15,0,9
2014-05-16,0,10
2014-05-17,0,10
2014-05-18,0,10
2014-05-19,0,10
2014-05-20,0,10
2014-05-21,0,10
2014-05-22,0,10
2014-05-23,0,10
2014-05-24,0,10
2014-05-25,0,10
2014-05-26,0,10
2014-05-27,0,10
2014-05-28,0,10
2014-05-29,48.4,10
2014-05-30,0,10
2014-05-31,0,11
2014-06-01,0,11
2014-06-02,0,11
2014-06-03,39.81818181818182,11
2014-06-04,0,11
2014-06-05,0,11
2014-06-06,0,11
2014-06-07,0,11
2014-06-08,0,11
2014-06-09,0,11
2014-06-10,0,11
2014-06-11,0,11
2014-06-12,0,11
2014-06-13,0,11
2014-06-14,0,11
2014-06-15,0,12
2014-06-16,0,12
2014-06-17,0,12
2014-06-18,43.166666666666664,12
2014-06-19,0,12
2014-06-20,0,12
2014-06-21,0,12
2014-06-22,0,12
2014-06-23,0,12
2014-06-24,0,12
2014-06-25,0,12
2014-06-26,0,12
2014-06-27,0,12
2014-06-28,0,12
2014-06-29,0,12
2014-06-30,0,13
2014-07-01,0,13
2014-07-02,0,12
2014-07-03,0,12
2014-07-04,0,12
2014-07-05,47.166666666666664,12
2014-07-06,0,12
2014-07-07,0,12
2014-07-08,33.416666666666664,12
2014-07-09,0,12
2014-07-10,0,12
2014-07-11,0,12
2014-07-12,0,12
2014-07-13,0,12
2014-07-14,0,12
2014-07-15,0,13
2014-07-16,0,13
2014-07-17,0,12
2014-07-18,0,12
2014-07-19,48.666666666666664,12
2014-07-20,0,12
2014-07-21,0,12
2014-07-22,29.75,12
2014-07-23,32.083333333333336,12
2014-07-24,0,12
2014-07-25,0,12
2014-07-26,44.166666666666664,12
2014-07-27,0,12
2014-07-28,0,12
2014-07-29,0,12
2014-07-30,0,13
2014-07-31,30.76923076923077,13
2014-08-01,100,12
2014-08-02,0,12
2014-08-03,0,12
2014-08-04,29,12
2014-08-05,0,12
2014-08-06,0,12
2014-08-07,0,12
2014-08-08,0,12
2014-08-09,0,12
2014-08-10,39,12
2014-08-11,0,12
2014-08-12,0,12
2014-08-13,27,12
2014-08-14,0,13
2014-08-15,36.69230769230769,13
2014-08-16,0,12
2014-08-17,0,12
2014-08-18,29.583333333333332,12
2014-08-19,28.5,12
2014-08-20,28.5,12
2014-08-21,0,12
2014-08-22,0,12
2014-08-23,37.75,12
2014-08-24,0,12
2014-08-25,0,12
2014-08-26,27.5,12
2014-08-27,0,12
2014-08-28,0,12
2014-08-29,0,13
2014-08-30,0,13
2014-08-31,0,13
2014-09-01,0,13
2014-09-02,0,13
2014-09-03,57,12
2014-09-04,0,12
2014-09-05,0,12
2014-09-06,0,12
2014-09-07,0,12
2014-09-08,0,12
2014-09-09,0,12
2014-09-10,0,12
2014-09-11,0,12
2014-09-12,0,12
2014-09-13,0,13
2014-09-14,33.61538461538461,13
2014-09-15,0,13
2014-09-16,0,13
2014-09-17,0,13
2014-09-18,29.75,12
2014-09-19,0,12
2014-09-20,0,12
2014-09-21,68.75,12
2014-09-22,26.5,12
2014-09-23,0,12
2014-09-24,29.5,12
2014-09-25,0,12
2014-09-26,0,12
2014-09-27,38,12
2014-09-28,37.46153846153846,13
2014-09-29,0,13
2014-09-30,0,13
2014-10-01,0,13
2014-10-02,0,12
2014-10-03,0,12
2014-10-04,0,12
2014-10-05,35.333333333333336,12
2014-10-06,55,12
2014-10-07,0,12
2014-10-08,0,12
2014-10-09,0,12
2014-10-10,0,12
2014-10-11,0,12
2014-10-12,0,12
2014-10-13,0,13
2014-10-14,56,13
2014-10-15,0,13
2014-10-16,28.692307692307693,13
2014-10-17,0,12
2014-10-18,0,12
2014-10-19,72.66666666666667,12
2014-10-20,27.5,12
2014-10-21,0,12
2014-10-22,0,12
2014-10-23,0,12
2014-10-24,0,12
