time,value,n
2006-01-01,100,1
2006-01-02,57,1
2006-01-03,58,1
2006-01-04,28,1
2006-01-05,62,1
2006-01-06,0,1
2006-01-07,42,1
2006-01-08,38,1
2006-01-09,0,1
2006-01-10,24,1
2006-01-11,0,1
2006-01-12,0,1
2006-01-13,57,1
2006-01-14,0,1
2006-01-15,36,1
2006-01-16,23.5,2
2006-01-17,0,2
2006-01-18,25,2
2006-01-19,25.5,2
2006-01-20,0,2
2006-01-21,0,2
2006-01-22,0,2
2006-01-23,46.5,2
2006-01-24,48.5,2
2006-01-25,0,2
2006-01-26,0,2
2006-01-27,0,2
2006-01-28,0,2
2006-01-29,38,2
2006-01-30,23.5,2
2006-01-31,0,3
2006-02-01,25.333333333333332,3
2006-02-02,52.333333333333336,3
2006-02-03,29.333333333333332,3
2006-02-04,0,3
2006-02-05,38.333333333333336,3
2006-02-06,0,3
2006-02-07,25.333333333333332,3
2006-02-08,25.666666666666668,3
2006-02-09,26.666666666666668,3
2006-02-10,60,3
2006-02-11,43.333333333333336,3
2006-02-12,39.333333333333336,3
2006-02-13,0,3
2006-02-14,24.666666666666668,3
2006-02-15,25.75,4
2006-02-16,0,4
2006-02-17,29.5,4
2006-02-18,0,4
2006-02-19,39.5,4
2006-02-20,0,4
2006-02-21,50.25,4
2006-02-22,0,4
2006-02-23,0,4
2006-02-24,28.5,4
2006-02-25,0,4
2006-02-26,0,4
2006-02-27,0,4
2006-02-28,0,4
2006-03-01,76,4
2006-03-02,0,5
2006-03-03,0,5
2006-03-04,0,5
2006-03-05,0,5
2006-03-06,23.8,5
2006-03-07,0,5
2006-03-08,24.8,5
2006-03-09,24.6,5
2006-03-10,27.6,5
2006-03-11,39.6,5
2006-03-12,0,5
2006-03-13,0,5
2006-03-14,0,5
2006-03-15,24.6,5
2006-03-16,24.8,5
2006-03-17,0,6
2006-03-18,0,6
2006-03-19,0,6
2006-03-20,0,6
2006-03-21,23.833333333333332,6
2006-03-22,23.833333333333332,6
2006-03-23,0,6
2006-03-24,0,6
2006-03-25,0,6
2006-03-26,0,6
2006-03-27,0,6
2006-03-28,23.833333333333332,6
2006-03-29,49.5,6
2006-03-30,51.5,6
2006-03-31,0,6
2006-04-01,0,7
2006-04-02,0,7
2006-04-03,0,7
2006-04-04,0,7
2006-04-05,24.857142857142858,7
2006-04-06,25.857142857142858,7
2006-04-07,30.857142857142858,7
2006-04-08,0,7
2006-04-09,0,7
2006-04-10,0,7
2006-04-11,75.57142857142857,7
2006-04-12,26.857142857142858,7
2006-04-13,0,7
2006-04-14,33.857142857142854,7
2006-04-15,0,7
2006-04-16,0,8
2006-04-17,0,8
2006-04-18,0,8
2006-04-19,24.875,8
2006-04-20,25.875,8
2006-04-21,0,8
2006-04-22,0,8
2006-04-23,0,8
2006-04-24,0,8
2006-04-25,50.75,8
2006-04-26,0,8
2006-04-27,24.875,8
2006-04-28,0,8
2006-04-29,0,8
2006-04-30,0,8
2006-05-01,0,9
2006-05-02,72.66666666666667,9
2006-05-03,50.77777777777778,9
2006-05-04,0,9
2006-05-05,0,9
2006-05-06,0,9
2006-05-07,0,9
2006-05-08,0,9
2006-05-09,0,9
2006-05-10,99.44444444444444,9
2006-05-11,0,9
2006-05-12,0,9
2006-05-13,0,9
2006-05-14,0,9
2006-05-15,46.77777777777778,9
2006-05-16,0,10
2006-05-17,74.4,10
2006-05-18,0,10
2006-05-19,28.3,10
2006-05-20,43.3,10
2006-05-21,0,10
2006-05-22,24.2,10
2006-05-23,24.1,10
2006-05-24,0,10
2006-05-25,0,10
2006-05-26,0,10
2006-05-27,42.3,10
2006-05-28,34.3,10
2006-05-29,67.5,10
2006-05-30,45.3,10
2006-05-31,0,11
2006-06-01,25.181818181818183,11
2006-06-02,27.363636363636363,11
2006-06-03,40.36363636363637,11
2006-06-04,0,11
2006-06-05,66.9090909090909,11
2006-06-06,0,11
2006-06-07,0,11
2006-06-08,50.72727272727273,11
2006-06-09,29.363636363636363,11
2006-06-10,0,11
2006-06-11,0,11
2006-06-12,0,11
2006-06-13,0,11
2006-06-14,28.454545454545453,11
2006-06-15,0,12
2006-06-16,0,12
2006-06-17,91.5,12
2006-06-18,0,12
2006-06-19,24.5,12
2006-06-20,0,12
2006-06-21,25.5,12
2006-06-22,0,12
2006-06-23,29.416666666666668,12
2006-06-24,51,12
2006-06-25,0,12
2006-06-26,50.666666666666664,12
2006-06-27,0,12
2006-06-28,26.5,12
2006-06-29,25.5,12
2006-06-30,0,13
2006-07-01,0,13
2006-07-02,0,12
2006-07-03,26.5,12
2006-07-04,56.25,12
2006-07-05,28.75,12
2006-07-06,0,12
2006-07-07,31.75,12
2006-07-08,0,12
2006-07-09,90.33333333333331,12
2006-07-10,0,12
2006-07-11,0,12
