time,value,n
2014-01-01,0,1
2014-01-02,52,1
2014-01-03,0,1
2014-01-04,0,1
2014-01-05,0,1
2014-01-06,0,1
2014-01-07,0,1
2014-01-08,0,1
2014-01-09,0,1
2014-01-10,0,1
2014-01-11,0,1
2014-01-12,0,1
2014-01-13,0,1
2014-01-14,0,1
2014-01-15,93,1
2014-01-16,48,2
2014-01-17,0,2
2014-01-18,0,2
2014-01-19,0,2
2014-01-20,43,2
2014-01-21,0,2
2014-01-22,0,2
2014-01-23,0,2
2014-01-24,0,2
2014-01-25,0,2
2014-01-26,0,2
2014-01-27,0,2
2014-01-28,0,2
2014-01-29,0,2
2014-01-30,0,2
2014-01-31,0,3
2014-02-01,0,3
2014-02-02,53,3
2014-02-03,0,3
2014-02-04,0,3
2014-02-05,0,3
2014-02-06,74,3
2014-02-07,0,3
2014-02-08,0,3
2014-02-09,0,3
2014-02-10,0,3
2014-02-11,46,3
2014-02-12,0,3
2014-02-13,0,3
2014-02-14,0,3
2014-02-15,0,4
2014-02-16,0,4
2014-02-17,0,4
2014-02-18,0,4
2014-02-19,0,4
2014-02-20,0,4
2014-02-21,0,4
2014-02-22,0,4
2014-02-23,0,4
2014-02-24,45,4
2014-02-25,0,4
2014-02-26,0,4
2014-02-27,0,4
2014-02-28,0,4
2014-03-01,0,4
2014-03-02,0,5
2014-03-03,0,5
2014-03-04,0,5
2014-03-05,92,5
2014-03-06,0,5
2014-03-07,53,5
2014-03-08,65,5
2014-03-09,0,5
2014-03-10,0,5
2014-03-11,48,5
2014-03-12,48,5
2014-03-13,0,5
2014-03-14,0,5
2014-03-15,59,5
2014-03-16,0,5
2014-03-17,0,6
2014-03-18,97,6
2014-03-19,0,6
2014-03-20,50,6
2014-03-21,0,6
2014-03-22,65,6
2014-03-23,0,6
2014-03-24,0,6
2014-03-25,47,6
2014-03-26,0,6
2014-03-27,0,6
2014-03-28,0,6
2014-03-29,0,6
2014-03-30,0,6
2014-03-31,0,6
2014-04-01,0,7
2014-04-02,48.857142857142854,7
2014-04-03,49.857142857142854,7
2014-04-04,0,7
2014-04-05,0,7
2014-04-06,0,7
2014-04-07,0,7
2014-04-08,0,7
2014-04-09,0,7
2014-04-10,0,7
2014-04-11,0,7
2014-04-12,0,7
2014-04-13,0,7
2014-04-14,0,7
2014-04-15,0,7
2014-04-16,0,8
2014-04-17,0,8
2014-04-18,0,8
2014-04-19,0,8
2014-04-20,0,8
2014-04-21,0,8
2014-04-22,0,8
2014-04-23,0,8
2014-04-24,0,8
2014-04-25,0,8
2014-04-26,0,8
2014-04-27,0,8
2014-04-28,0,8
2014-04-29,0,8
2014-04-30,0,8
2014-05-01,0,9
2014-05-02,0,9
2014-05-03,0,9
2014-05-04,0,9
2014-05-05,0,9
2014-05-06,94.66666666666669,9
2014-05-07,0,9
2014-05-08,0,9
2014-05-09,0,9
2014-05-10,0,9
2014-05-11,0,9
2014-05-12,0,9
2014-05-13,87,9
2014-05-14,0,9
2014-05-15,0,9
2014-05-16,0,10
2014-05-17,0,10
2014-05-18,0,10
2014-05-19,0,10
2014-05-20,0,10
2014-05-21,0,10
2014-05-22,0,10
2014-05-23,0,10
2014-05-24,0,10
2014-05-25,0,10
2014-05-26,0,10
2014-05-27,47.4,10
2014-05-28,50.4,10
2014-05-29,58,10
2014-05-30,0,10
2014-05-31,0,11
2014-06-01,0,11
2014-06-02,47.90909090909091,11
2014-06-03,48.36363636363637,11
2014-06-04,0,11
2014-06-05,50.90909090909091,11
2014-06-06,0,11
2014-06-07,0,11
2014-06-08,78.63636363636364,11
2014-06-09,0,11
2014-06-10,0,11
2014-06-11,0,11
2014-06-12,49.90909090909091,11
2014-06-13,0,11
2014-06-14,0,11
2014-06-15,0,12
2014-06-16,0,12
2014-06-17,0,12
2014-06-18,53.5,12
2014-06-19,0,12
2014-06-20,55,12
2014-06-21,0,12
2014-06-22,0,12
2014-06-23,48,12
2014-06-24,47.5,12
2014-06-25,48.5,12
2014-06-26,0,12
2014-06-27,0,12
2014-06-28,0,12
2014-06-29,58.5,12
2014-06-30,0,13
2014-07-01,0,13
2014-07-02,0,12
2014-07-03,0,12
2014-07-04,0,12
2014-07-05,0,12
2014-07-06,70,12
2014-07-07,0,12
2014-07-08,47.333333333333336,12
2014-07-09,0,12
2014-07-10,0,12
2014-07-11,0,12
2014-07-12,0,12
2014-07-13,0,12
2014-07-14,49.333333333333336,12
2014-07-15,50.46153846153846,13
2014-07-16,0,13
2014-07-17,0,12
2014-07-18,0,12
2014-07-19,76.66666666666667,12
2014-07-20,0,12
2014-07-21,0,12
2014-07-22,0,12
2014-07-23,0,12
2014-07-24,0,12
2014-07-25,0,12
2014-07-26,0,12
2014-07-27,62.666666666666664,12
2014-07-28,0,12
2014-07-29,0,12
2014-07-30,0,13
2014-07-31,0,13
2014-08-01,57.5,12
2014-08-02,0,12
2014-08-03,0,12
2014-08-04,0,12
2014-08-05,0,12
2014-08-06,0,12
2014-08-07,0,12
2014-08-08,0,12
2014-08-09,0,12
2014-08-10,0,12
2014-08-11,46.25,12
2014-08-12,0,12
2014-08-13,0,12
2014-08-14,0,13
2014-08-15,0,13
2014-08-16,0,12
2014-08-17,0,12
2014-08-18,0,12
2014-08-19,46.5,12
2014-08-20,46.5,12
2014-08-21,0,12
2014-08-22,0,12
2014-08-23,0,12
2014-08-24,0,12
2014-08-25,0,12
2014-08-26,0,12
2014-08-27,0,12
2014-08-28,50.666666666666664,12
2014-08-29,0,13
2014-08-30,0,13
2014-08-31,0,13
2014-09-01,43.23076923076923,13
2014-09-02,0,13
2014-09-03,0,12
2014-09-04,0,12
2014-09-05,0,12
2014-09-06,62,12
2014-09-07,0,12
2014-09-08,0,12
2014-09-09,0,12
2014-09-10,0,12
2014-09-11,0,12
2014-09-12,0,12
2014-09-13,0,13
2014-09-14,0,13
2014-09-15,0,13
2014-09-16,0,13
2014-09-17,0,13
2014-09-18,0,12
2014-09-19,100,12
2014-09-20,0,12
2014-09-21,0,12
2014-09-22,0,12
2014-09-23,0,12
2014-09-24,45,12
2014-09-25,0,12
2014-09-26,0,12
2014-09-27,0,12
2014-09-28,0,13
2014-09-29,0,13
2014-09-30,0,13
2014-10-01,40.53846153846154,13
2014-10-02,0,12
2014-10-03,0,12
2014-10-04,0,12
2014-10-05,52.416666666666664,12
2014-10-06,0,12
2014-10-07,0,12
2014-10-08,0,12
2014-10-09,43.5,12
2014-10-10,0,12
2014-10-11,0,12
2014-10-12,0,12
2014-10-13,0,13
2014-10-14,41.07692307692308,13
2014-10-15,0,13
2014-10-16,0,13
2014-10-17,0,12
2014-10-18,0,12
2014-10-19,0,12
2014-10-20,0,12
2014-10-21,0,12
2014-10-22,0,12
2014-10-23,0,12
2014-10-24,0,12
2014-10-25,53.666666666666664,12
2014-10-26,0,12
2014-10-27,0,12
2014-10-28,81.23076923076923,13
2014-10-29,41.61538461538461,13
2014-10-30,0,13
2014-10-31,0,13
2014-11-01,0,13
2014-11-02,0,12
2014-11-03,0,12
2014-11-04,0,12
2014-11-05,0,12
2014-11-06,0,12
2014-11-07,0,12
2014-11-08,0,12
2014-11-09,0,12
2014-11-10,38.75,12
2014-11-11,0,12
2014-11-12,0,13
2014-11-13,40.15384615384615,13
2014-11-14,0,13
2014-11-15,0,13
2014-11-16,0,13
2014-11-17,0,12
2014-11-18,0,12
2014-11-19,81,12
2014-11-20,0,12
2014-11-21,0,12
2014-11-22,53.333333333333336,12
