time,value,n
2014-01-05,14,1
2014-01-12,68,1
2014-01-19,13,1
2014-01-26,27,1
2014-02-02,29,1
2014-02-09,14,1
2014-02-16,14,1
2014-02-23,0,1
2014-03-02,14,1
2014-03-09,28,1
2014-03-16,14,1
2014-03-23,28,2
2014-03-30,29,2
2014-04-06,14,2
2014-04-13,0,2
2014-04-20,30,2
2014-04-27,59,2
2014-05-04,28,2
2014-05-11,0,2
2014-05-18,0,2
2014-05-25,33,2
2014-06-01,17,2
2014-06-08,0,3
2014-06-15,17,3
2014-06-22,0,3
2014-06-29,16,3
2014-07-06,16,3
2014-07-13,17,3
2014-07-20,50,3
2014-07-27,67,3
2014-08-03,18,3
2014-08-10,50,3
2014-08-17,66,3
2014-08-24,16,4
2014-08-31,31,4
2014-09-07,0,4
2014-09-14,31,4
2014-09-21,77,4
2014-09-28,15,4
2014-10-05,46,4
2014-10-12,45,4
2014-10-19,58,4
2014-10-26,15,4
2014-11-02,43,4
2014-11-09,29,5
2014-11-16,15,5
2014-11-23,0,5
2014-11-30,29,5
2014-12-07,45,5
2014-12-14,45,5
2014-12-21,17,5
2014-12-28,16,5
2015-01-04,28,5
2015-01-11,26,5
2015-01-18,53,5
2015-01-25,70.83333333333333,6
2015-02-01,12.333333333333334,6
2015-02-08,0,6
2015-02-15,24.833333333333332,6
2015-02-22,46.833333333333336,6
2015-03-01,23.833333333333332,6
2015-03-08,12.333333333333334,6
2015-03-15,24.833333333333332,6
2015-03-22,0,6
2015-03-29,0,6
2015-04-05,13.333333333333334,6
2015-04-12,21.285714285714285,7
2015-04-19,10.571428571428571,7
2015-04-26,0,7
2015-05-03,0,7
2015-05-10,22,7
2015-05-17,9.857142857142858,7
2015-05-24,76,7
2015-05-31,12.142857142857142,7
2015-06-07,0,7
2015-06-14,0,7
2015-06-21,42.57142857142857,7
2015-06-28,10,8
2015-07-05,0,8
2015-07-12,0,8
2015-07-19,0,8
2015-07-26,39.375,8
2015-08-02,20.5,8
2015-08-09,40.125,8
2015-08-16,9.25,8
2015-08-23,19.25,8
2015-08-30,18.625,8
2015-09-06,9.25,8
2015-09-13,8.222222222222221,9
2015-09-20,7.666666666666667,9
2015-09-27,15.88888888888889,9
2015-10-04,0,9
2015-10-11,7.666666666666667,9
2015-10-18,31.22222222222222,9
2015-10-25,32.44444444444444,9
2015-11-01,7.666666666666667,9
2015-11-08,39.22222222222222,9
2015-11-15,15.333333333333334,9
2015-11-22,15.333333333333334,9
2015-11-29,0,10
2015-12-06,20.7,10
2015-12-13,13.8,10
2015-12-20,24.9,10
2015-12-27,0,10
2016-01-03,0,10
2016-01-10,20.7,10
2016-01-17,13.8,10
2016-01-24,6.9,10
2016-01-31,6.9,10
2016-02-07,14.3,10
2016-02-14,12.545454545454543,11
2016-02-21,6.2727272727272725,11
2016-02-28,6.2727272727272725,11
2016-03-06,0,11
2016-03-13,6.2727272727272725,11
2016-03-20,0,11
2016-03-27,6.7272727272727275,11
2016-04-03,19.818181818181817,11
2016-04-10,14,11
2016-04-17,6.7272727272727275,11
2016-04-24,0,11
