time,value,n
2006-01-01,72,1
2006-01-08,77,1
2006-01-15,75,1
2006-01-22,78,1
2006-01-29,70,1
2006-02-05,83,1
2006-02-12,81,1
2006-02-19,76,1
2006-02-26,71,1
2006-03-05,86,1
2006-03-12,76,1
2006-03-19,79,2
2006-03-26,80,2
2006-04-02,84,2
2006-04-09,73,2
2006-04-16,83,2
2006-04-23,77,2
2006-04-30,83,2
2006-05-07,75,2
2006-05-14,76,2
2006-05-21,80,2
2006-05-28,73,2
2006-06-04,72,3
2006-06-11,73,3
2006-06-18,78,3
2006-06-25,87,3
2006-07-02,84,3
2006-07-09,88,3
2006-07-16,96,3
2006-07-23,100,3
2006-07-30,92,3
2006-08-06,88,3
2006-08-13,94,3
2006-08-20,97,4
2006-08-27,86.75,4
2006-09-03,78.75,4
2006-09-10,82.75,4
2006-09-17,82.75,4
2006-09-24,73.75,4
2006-10-01,78.75,4
2006-10-08,76,4
2006-10-15,79.75,4
2006-10-22,76.75,4
2006-10-29,74.75,4
2006-11-05,71.4,5
2006-11-12,74.6,5
2006-11-19,66.6,5
2006-11-26,63.2,5
2006-12-03,61.6,5
2006-12-10,62.2,5
2006-12-17,51,5
2006-12-24,66.2,5
2006-12-31,78.6,5
2007-01-07,74.6,5
2007-01-14,83.8,5
2007-01-21,70.16666666666667,6
2007-01-28,74.16666666666667,6
2007-02-04,79.5,6
2007-02-11,80.5,6
2007-02-18,85.5,6
2007-02-25,76.5,6
2007-03-04,80.66666666666667,6
2007-03-11,75.16666666666667,6
2007-03-18,76.66666666666667,6
2007-03-25,76.16666666666667,6
2007-04-01,72.16666666666667,6
2007-04-08,84.57142857142857,7
2007-04-15,72.57142857142857,7
2007-04-22,75.57142857142857,7
2007-04-29,84.14285714285714,7
2007-05-06,75.57142857142857,7
2007-05-13,73,7
2007-05-20,76,7
2007-05-27,85,7
2007-06-03,75.57142857142857,7
2007-06-10,78,7
2007-06-17,75.57142857142857,7
2007-06-24,76.375,8
2007-07-01,83.5,8
2007-07-08,91,8
2007-07-15,89,8
2007-07-22,96,8
2007-07-29,97,8
2007-08-05,91.875,8
2007-08-12,96.875,8
2007-08-19,92,8
2007-08-26,83.5,8
2007-09-02,76.375,8
2007-09-09,74.44444444444444,9
2007-09-16,84.44444444444444,9
2007-09-23,69.88888888888889,9
2007-09-30,67.22222222222223,9
2007-10-07,66.66666666666667,9
2007-10-14,72.88888888888889,9
2007-10-21,68.77777777777777,9
2007-10-28,68.77777777777777,9
2007-11-04,73.33333333333333,9
2007-11-11,58.111111111111114,9
2007-11-18,63.111111111111114,9
2007-11-25,64.8,10
2007-12-02,63.8,10
2007-12-09,57.9,10
2007-12-16,51,10
2007-12-23,56.6,10
2007-12-30,72.4,10
2008-01-06,73.1,10
2008-01-13,80.3,10
2008-01-20,78.7,10
2008-01-27,74.7,10
2008-02-03,75.7,10
2008-02-10,84,11
2008-02-17,82.63636363636364,11
2008-02-24,77.36363636363636,11
2008-03-02,73,11
2008-03-09,72.72727272727273,11
2008-03-16,73.0909090909091,11
2008-03-23,81,11
2008-03-30,72,11
2008-04-06,73.36363636363636,11
2008-04-13,76,11
2008-04-20,71,11
2008-04-27,72.91666666666667,12
2008-05-04,71.5,12
2008-05-11,74.91666666666667,12
2008-05-18,76.91666666666667,12
2008-05-25,71.58333333333333,12
2008-06-01,70.5,12
2008-06-08,66.58333333333333,12
2008-06-15,71.91666666666667,12
2008-06-22,66.58333333333333,12
2008-06-29,72.91666666666667,12
2008-07-06,77.25,12
2008-07-13,83.76923076923077,13
2008-07-20,83.07692307692308,13
2008-07-27,79.07692307692308,13
2008-08-03,80.38461538461539,13
2008-08-10,80.07692307692308,13
2008-08-17,87.53846153846153,13
2008-08-24,81.38461538461539,13
2008-08-31,80.38461538461539,13
2008-09-07,75.38461538461539,13
2008-09-14,73.38461538461539,13
2008-09-21,69,13
2008-09-28,75.28571428571429,14
2008-10-05,73.78571428571429,14
2008-10-12,65.57142857142857,14
